speaker_type,cum_dur,voc_count,turns,cds_dur,annotation_filename,recording_filename,filename,child_id,date_iso,min_duration
FEM,7944.753000000994,4150,654,2133.3260000002347,vtc/1_CW2_CH2_AJ05_AJ09_190624_0_0.csv,1_CW2_CH2_AJ05_AJ09_190624.WAV,1_CW2_CH2_AJ05_AJ09_190624.WAV,C24,2019-06-24,60969.602416999995
MAL,4095.83100000048,2754,176,582.7690000000771,vtc/1_CW2_CH2_AJ05_AJ09_190624_0_0.csv,1_CW2_CH2_AJ05_AJ09_190624.WAV,1_CW2_CH2_AJ05_AJ09_190624.WAV,C24,2019-06-24,60969.602416999995
OCH,6458.229000000887,4574,1047,3471.3850000003076,vtc/1_CW2_CH2_AJ05_AJ09_190624_0_0.csv,1_CW2_CH2_AJ05_AJ09_190624.WAV,1_CW2_CH2_AJ05_AJ09_190624.WAV,C24,2019-06-24,60969.602416999995
CHI,8599.236000001332,5241,3338,7803.190000001086,vtc/1_CW1_CH1_AJ06_AJ28_190627_0_0.csv,1_CW1_CH1_AJ06_AJ28_190627.WAV,1_CW1_CH1_AJ06_AJ28_190627.WAV,C26,2019-06-27,62676.261104
FEM,22394.675000002168,8933,1818,7558.145000000824,vtc/1_CW1_CH1_AJ06_AJ28_190627_0_0.csv,1_CW1_CH1_AJ06_AJ28_190627.WAV,1_CW1_CH1_AJ06_AJ28_190627.WAV,C26,2019-06-27,62676.261104
MAL,4064.584000001005,3530,226,504.17000000006476,vtc/1_CW1_CH1_AJ06_AJ28_190627_0_0.csv,1_CW1_CH1_AJ06_AJ28_190627.WAV,1_CW1_CH1_AJ06_AJ28_190627.WAV,C26,2019-06-27,62676.261104
OCH,6029.088000001003,5004,1385,3426.769000000677,vtc/1_CW1_CH1_AJ06_AJ28_190627_0_0.csv,1_CW1_CH1_AJ06_AJ28_190627.WAV,1_CW1_CH1_AJ06_AJ28_190627.WAV,C26,2019-06-27,62676.261104
CHI,7804.741000001054,4769,2877,6703.602000000968,vtc/1_CW3_CH3_AJ06_AJ35_190627_0_0.csv,1_CW3_CH3_AJ06_AJ35_190627.WAV,1_CW3_CH3_AJ06_AJ35_190627.WAV,C28,2019-06-27,46264.069854
FEM,9769.075000001798,5266,1303,3464.2000000007056,vtc/1_CW3_CH3_AJ06_AJ35_190627_0_0.csv,1_CW3_CH3_AJ06_AJ35_190627.WAV,1_CW3_CH3_AJ06_AJ35_190627.WAV,C28,2019-06-27,46264.069854
MAL,2461.355000000599,1819,222,613.7250000001291,vtc/1_CW3_CH3_AJ06_AJ35_190627_0_0.csv,1_CW3_CH3_AJ06_AJ35_190627.WAV,1_CW3_CH3_AJ06_AJ35_190627.WAV,C28,2019-06-27,46264.069854
OCH,7561.790000001302,5089,1396,4384.5110000004815,vtc/1_CW3_CH3_AJ06_AJ35_190627_0_0.csv,1_CW3_CH3_AJ06_AJ35_190627.WAV,1_CW3_CH3_AJ06_AJ35_190627.WAV,C28,2019-06-27,46264.069854
CHI,5182.391000000633,3240,1927,4483.700000000432,vtc/1_CW4_CH4_AJ06_AJ06_190627_0_0.csv,1_CW4_CH4_AJ06_AJ06_190627.WAV,1_CW4_CH4_AJ06_AJ06_190627.WAV,C29,2019-06-27,66067.722771
FEM,10173.633000001602,5090,756,2577.3660000003215,vtc/1_CW4_CH4_AJ06_AJ06_190627_0_0.csv,1_CW4_CH4_AJ06_AJ06_190627.WAV,1_CW4_CH4_AJ06_AJ06_190627.WAV,C29,2019-06-27,66067.722771
MAL,4048.55000000041,2334,129,427.21199999999794,vtc/1_CW4_CH4_AJ06_AJ06_190627_0_0.csv,1_CW4_CH4_AJ06_AJ06_190627.WAV,1_CW4_CH4_AJ06_AJ06_190627.WAV,C29,2019-06-27,66067.722771
OCH,6788.595000001283,4731,1077,3475.2850000004273,vtc/1_CW4_CH4_AJ06_AJ06_190627_0_0.csv,1_CW4_CH4_AJ06_AJ06_190627.WAV,1_CW4_CH4_AJ06_AJ06_190627.WAV,C29,2019-06-27,66067.722771
CHI,200.71700000000055,86,54,181.39,vtc/1_CW1_CH1_AJ07_AJ14_190630_0_0.csv,1_CW1_CH1_AJ07_AJ14_190630.WAV,1_CW1_CH1_AJ07_AJ14_190630.WAV,C30,2019-06-30,836.044625
FEM,89.1609999999998,81,27,36.516999999999555,vtc/1_CW1_CH1_AJ07_AJ14_190630_0_0.csv,1_CW1_CH1_AJ07_AJ14_190630.WAV,1_CW1_CH1_AJ07_AJ14_190630.WAV,C30,2019-06-30,836.044625
MAL,156.8550000000002,85,18,49.46800000000019,vtc/1_CW1_CH1_AJ07_AJ14_190630_0_0.csv,1_CW1_CH1_AJ07_AJ14_190630.WAV,1_CW1_CH1_AJ07_AJ14_190630.WAV,C30,2019-06-30,836.044625
OCH,38.587000000000046,31,15,30.98500000000007,vtc/1_CW1_CH1_AJ07_AJ14_190630_0_0.csv,1_CW1_CH1_AJ07_AJ14_190630.WAV,1_CW1_CH1_AJ07_AJ14_190630.WAV,C30,2019-06-30,836.044625
CHI,5864.1580000006215,3348,1727,4957.057000000571,vtc/1_CW2_CH2_AJ07_AJ07_190630_0_0.csv,1_CW2_CH2_AJ07_AJ07_190630.WAV,1_CW2_CH2_AJ07_AJ07_190630.WAV,C31,2019-06-30,65256.297708000006
FEM,6390.634000000902,3785,476,1231.848000000108,vtc/1_CW2_CH2_AJ07_AJ07_190630_0_0.csv,1_CW2_CH2_AJ07_AJ07_190630.WAV,1_CW2_CH2_AJ07_AJ07_190630.WAV,C31,2019-06-30,65256.297708000006
MAL,4819.057000000757,3318,326,798.4010000001065,vtc/1_CW2_CH2_AJ07_AJ07_190630_0_0.csv,1_CW2_CH2_AJ07_AJ07_190630.WAV,1_CW2_CH2_AJ07_AJ07_190630.WAV,C31,2019-06-30,65256.297708000006
